8168,Light Kingfisher,¸,49,136,165,195.00,0.54,0.42,52.93,-16.14,-22.90,LThanda
8169,Kingfisher,¹,26,112,149,198.05,0.70,0.34,44.20,-11.15,-27.09,LThanda
8170,Dark Kingfisher,º,28,81,120,205.43,0.62,0.29,32.89,-3.06,-27.18,LThanda
8171,Sapphire,»,16,77,128,207.32,0.78,0.28,31.75,1.37,-33.97,LThanda
8172,Dark Sapphire,¿,20,56,98,212.31,0.66,0.23,23.20,3.60,-28.55,LThanda
8173,Light Aqua Marine,×,136,178,175,175.71,0.21,0.62,69.59,-14.65,-3.07,LThanda
8282,Light Eucalypt,÷,137,132,92,53.33,0.20,0.45,54.65,-4.68,22.32,LThanda
8283,Gum Green,À,126,118,76,50.40,0.25,0.40,49.39,-3.58,24.25,LThanda
8284,Green Gold,Á,135,115,75,40.00,0.29,0.41,49.40,1.97,25.00,LThanda
8285,Pale Gold,Â,194,173,112,44.63,0.40,0.60,71.23,-0.94,34.08,LThanda
8286,Gold,Ã,181,144,64,41.03,0.48,0.48,61.78,5.02,46.69,LThanda
8287,Deep Gold,Ä,155,113,48,36.45,0.53,0.40,50.68,9.77,41.43,LThanda
8288,Light Bronze,Å,143,118,53,43.33,0.46,0.38,50.75,1.78,38.67,LThanda
8289,Dark Khaki,Æ,105,83,44,38.36,0.41,0.29,36.69,3.89,26.08,LThanda
8290,Bronze,Ç,109,72,37,29.17,0.49,0.29,34.02,11.92,27.03,LThanda
8292,String,È,142,127,107,34.29,0.14,0.49,54.02,2.37,12.97,LThanda
8293,Gun Metal,É,94,83,68,34.62,0.16,0.32,35.95,1.86,10.45,LThanda
8294,Putty,Ê,110,97,76,37.06,0.18,0.36,41.82,1.66,13.90,LThanda
8296,Linen,Ë,162,140,98,39.38,0.26,0.51,59.27,2.14,25.50,LThanda
8297,Fawn,Ì,132,100,75,26.32,0.28,0.41,44.98,9.40,19.16,LThanda
8298,Dark Linen,Í,132,91,63,24.35,0.35,0.38,42.38,13.39,22.82,LThanda
8303,Mocha,Î,112,80,56,25.71,0.33,0.33,36.87,10.22,19.40,LThanda
8304,Olivine,Ï,131,91,63,24.71,0.35,0.38,42.26,12.94,22.64,LThanda
8307,Deep Cadmium,Ð,168,102,43,28.32,0.59,0.41,49.50,21.55,43.09,LThanda
8308,Russet,Ñ,131,66,44,15.17,0.50,0.34,35.80,25.90,25.83,LThanda
8309,Oaten,Ò,221,158,112,25.32,0.62,0.65,70.17,18.18,33.26,LThanda
8310,Pale Ginger,Ó,159,111,72,26.90,0.38,0.45,50.93,14.51,29.18,LThanda
8311,Dark Ginger,Ô,148,102,58,29.33,0.44,0.40,47.11,13.65,31.96,LThanda
8312,Golden Ginger,Õ,163,113,64,29.70,0.44,0.45,51.80,14.45,34.74,LThanda
8355,Light Ochre,Ö,213,135,98,19.30,0.58,0.61,63.64,26.08,32.25,LThanda
8356,Mid Ochre,Ø,196,98,63,15.79,0.53,0.51,52.76,36.42,37.51,LThanda
8357,Dark Ochre,Ù,167,73,44,14.15,0.58,0.41,43.01,36.85,35.62,LThanda
8358,Ochre,Ú,158,66,42,12.41,0.58,0.39,40.14,36.77,33.13,LThanda
8359,Dark Brown,Û,94,44,31,12.38,0.50,0.25,24.58,21.54,18.83,LThanda
8364,Medium Skin Tone,Ü,204,133,96,20.56,0.51,0.59,62.05,23.34,31.09,LThanda
8365,Light Tan,Ý,207,132,79,24.84,0.57,0.56,61.94,23.78,40.15,LThanda
8366,Mid Tan,Þ,190,104,55,21.78,0.55,0.48,53.08,30.40,41.86,LThanda
8367,Tan,ß,182,94,51,19.69,0.56,0.46,49.73,32.26,39.91,LThanda
8368,Dark Tan,à,121,54,36,12.71,0.54,0.31,31.42,27.84,25.02,LThanda
8380,Red Mud,á,94,36,38,357.93,0.45,0.25,22.94,26.70,12.10,LThanda
8381,Dark Burgundy,â,88,34,37,356.67,0.44,0.24,21.40,25.25,10.54,LThanda
8384,Mole Pink,ã,187,116,98,12.13,0.40,0.56,56.03,25.94,21.70,LThanda
8385,Light Mole,ä,177,119,113,5.63,0.29,0.57,55.82,21.97,12.57,LThanda
8386,Mole,å,149,92,86,5.71,0.27,0.46,45.24,22.63,13.29,LThanda
8387,Dark Mole,æ,121,64,56,7.38,0.37,0.35,34.02,23.80,15.89,LThanda
8397,Medium Latte,ç,201,151,122,22.03,0.42,0.63,66.49,14.94,22.57,LThanda
8398,Latte,è,173,113,84,19.55,0.35,0.50,53.31,20.47,25.79,LThanda
8399,Dark Latte,é,165,99,68,19.18,0.42,0.46,48.69,23.56,28.79,LThanda
8400,Bark,ê,138,73,57,11.85,0.42,0.38,38.66,25.92,21.81,LThanda
8401,Brown,ë,112,54,38,12.97,0.49,0.29,29.97,24.14,21.70,LThanda
8402,Chocolate Brown,ì,86,45,38,8.75,0.39,0.24,23.66,17.98,12.81,LThanda
8403,Dirty Paw,í,90,51,42,11.25,0.36,0.26,25.89,16.50,13.24,LThanda
8404,Purple Brown,î,72,38,33,7.69,0.37,0.21,19.53,15.39,10.30,LThanda
8407,Pale Donkey,ï,183,143,122,20.66,0.30,0.60,62.61,12.12,16.96,LThanda
8408,Medium Donkey,ð,159,113,93,18.18,0.26,0.49,51.80,15.56,18.32,LThanda
8409,Donkey,ñ,124,85,68,18.21,0.29,0.38,39.91,13.96,16.41,LThanda
8410,Charcoal,ò,74,51,45,12.41,0.24,0.23,23.71,9.45,7.93,LThanda
8425,Grey Green Haze,ó,147,127,102,33.33,0.18,0.49,54.39,3.70,16.43,LThanda
8430,Mid Twig,ô,150,112,99,15.29,0.20,0.49,50.66,13.15,13.07,LThanda
8431,Dark Twig,õ,139,102,87,17.31,0.23,0.44,46.55,12.75,14.30,LThanda
8432,Sepia,ö,102,72,58,19.09,0.28,0.31,33.49,10.81,13.46,LThanda
8433,Dark Sepia,ø,64,43,41,5.22,0.22,0.21,19.95,9.42,5.19,LThanda
8147,Ice,ù,187,191,159,67.50,0.20,0.69,76.27,-6.92,15.70,LThanda
8182,Midnight Turquoise,ú,23,81,94,190.99,0.61,0.23,31.52,-13.62,-12.98,LThanda
8191,Light Reef,û,104,170,160,170.91,0.28,0.54,65.15,-23.41,-1.49,LThanda
8192,Medium Reef,ü,75,150,140,172.00,0.33,0.44,57.27,-25.84,-1.90,LThanda
8193,Reef,ý,58,142,129,170.71,0.42,0.39,53.85,-28.60,-0.68,LThanda
8194,Dark Reef,þ,8,109,98,173.47,0.86,0.23,41.01,-28.70,-1.28,LThanda
8195,Waterfall,ÿ,46,136,121,170.00,0.49,0.36,51.35,-30.17,0.27,LThanda
8196,Deep Waterfall,Œ,26,134,119,171.67,0.68,0.31,50.22,-32.65,-0.27,LThanda
8198,Spa,œ,86,144,137,172.76,0.25,0.45,55.82,-20.70,-2.26,LThanda
8199,Deep Spa,Š,50,133,124,173.49,0.45,0.36,50.58,-27.13,-2.59,LThanda
8200,Blue Green,š,35,118,111,174.94,0.54,0.30,44.89,-26.09,-3.35,LThanda
8201,Dark Blue Green,Ÿ,10,84,79,175.95,0.79,0.18,31.74,-22.16,-3.15,LThanda
8202,Soft Green,ƒ,113,146,121,134.55,0.13,0.51,57.51,-16.81,9.53,LThanda
8203,Light Apple Green,Α,110,152,124,140.00,0.17,0.51,59.18,-20.38,10.17,LThanda
8204,Apple Green,Β,96,141,121,153.33,0.19,0.46,54.99,-19.91,5.79,LThanda
8205,Dark Apple Green,Γ,72,119,93,146.81,0.25,0.37,46.13,-22.32,9.32,LThanda
8206,Wattle Green,Δ,34,77,62,159.07,0.39,0.22,29.40,-19.16,4.37,LThanda
8210,Light Juniper,Ε,56,102,89,163.04,0.29,0.31,39.69,-19.24,2.43,LThanda
8211,Juniper,Ζ,37,75,67,167.37,0.34,0.22,28.98,-15.83,0.57,LThanda
8217,Pale Mint Green,Η,155,199,158,124.09,0.28,0.69,76.24,-22.55,15.87,LThanda
8218,Medium Mint Green,Θ,114,179,136,140.31,0.30,0.57,67.72,-30.15,15.52,LThanda
8219,Mint Green,Ι,78,159,107,141.48,0.34,0.46,59.41,-36.90,19.74,LThanda
8220,Bright Mint Green,Κ,53,154,99,147.33,0.49,0.41,56.85,-42.16,20.55,LThanda
8221,Light Emerald,Λ,56,154,92,142.04,0.47,0.41,56.81,-42.91,24.34,LThanda
8222,Emerald Green,Μ,21,115,59,144.26,0.69,0.27,42.36,-39.72,23.62,LThanda
8223,Dark Emerald,Ν,13,106,70,156.77,0.78,0.23,39.30,-34.69,13.19,LThanda
8224,Holly Green,Ξ,22,83,55,152.46,0.58,0.21,30.96,-26.85,10.91,LThanda
8225,Chartreuse,Ο,176,174,132,57.27,0.22,0.60,70.29,-6.20,21.88,LThanda
8226,Antique Green,Π,136,149,114,82.29,0.14,0.52,59.84,-11.13,16.97,LThanda
8227,Light Jungle,Ρ,86,118,84,116.47,0.17,0.40,46.41,-18.77,15.13,LThanda
8228,Jungle,Σ,77,108,75,116.36,0.18,0.36,42.48,-18.45,14.95,LThanda
8229,Deep Jungle,Τ,44,73,49,130.34,0.25,0.23,28.17,-16.84,11.02,LThanda
