8201,Dark Blue Green,10,84,79,#0A544F,LThanda
8202,Soft Green,113,146,121,#719279,LThanda
8203,Light Apple Green,110,152,124,#6E987C,LThanda
8204,Apple Green,96,141,121,#608D79,LThanda
8205,Dark Apple Green,72,119,93,#48775D,LThanda
8206,Wattle Green,34,77,62,#224D3E,LThanda
8210,Light Juniper,56,102,89,#386659,LThanda
8211,Juniper,37,75,67,#254B43,LThanda
8217,Pale Mint Green,155,199,158,#9BC79E,LThanda
8218,Medium Mint Green,114,179,136,#72B388,LThanda
8219,Mint Green,78,159,107,#4E9F6B,LThanda
8220,Bright Mint Green,53,154,99,#359A63,LThanda
8221,Light Emerald,56,154,92,#389A5C,LThanda
8222,Emerald Green,21,115,59,#15733B,LThanda
8223,Dark Emerald,13,106,70,#0D6A46,LThanda
8224,Holly Green,22,83,55,#165337,LThanda
8225,Chartreuse,176,174,132,#B0AE84,LThanda
8226,Antique Green,136,149,114,#889572,LThanda
8227,Light Jungle,86,118,84,#567654,LThanda
8228,Jungle,77,108,75,#4D6C4B,LThanda
8229,Deep Jungle,44,73,49,#2C4931,LThanda
8230,Veridian,35,70,44,#23462C,LThanda
8231,Pastel Green,142,172,116,#8EAC74,LThanda
8232,Pale Fern,129,157,81,#819D51,LThanda
8233,Fern,88,125,67,#587D43,LThanda
8234,Medium Fern,76,115,66,#4C7342,LThanda
8235,Dark Fern,48,84,43,#30542B,LThanda
8236,Pale Chartreuse,174,178,119,#AEB277,LThanda
8238,Palm Green,109,119,75,#6D774B,LThanda
8241,Cedar Green,50,93,58,#325D3A,LThanda
8242,Parrot,157,170,43,#9DAA2B,LThanda
8243,Dark Parrot,125,160,52,#7DA034,LThanda
8244,Lorikeet,82,140,51,#528C33,LThanda
8245,Kelly Green,14,94,35,#0E5E23,LThanda
8246,Mid Kelly Green,13,90,39,#0D5A27,LThanda
8247,Dark Kelly Green,15,83,44,#0F532C,LThanda
8248,Light Frog Green,151,160,30,#97A01E,LThanda
8249,Frog Green,70,123,17,#467B11,LThanda
8250,Leprachaun,61,99,31,#3D631F,LThanda
8251,Loden Green,57,88,33,#395821,LThanda
8253,Lichen,146,143,79,#928F4F,LThanda
8254,Pickle Green,106,127,48,#6A7F30,LThanda
8256,Mineral Green,99,99,37,#636325,LThanda
8257,Medium Forest,79,84,56,#4F5438,LThanda
8258,Forest,68,69,50,#444532,LThanda
8259,Dark Forest,57,53,40,#393528,LThanda
8271,Bright Lime,192,179,41,#C0B329,LThanda
8421,Greenstone,112,127,101,#707F65,LThanda
8207,Turquoise Breath,98,123,117,#627B75,LThanda
8208,Beryl,65,122,112,#417A70,LThanda
