B5,B5,53,227,82,130.00,0.76,0.55,79.79,-70.71,56.94,Asher
B6,B6,101,226,166,151.20,0.68,0.64,81.79,-48.55,19.01,Asher
B7,B7,61,175,128,155.26,0.48,0.46,64.33,-43.26,14.87,Asher
B8,B8,28,156,79,143.91,0.70,0.36,56.67,-50.58,30.99,Asher
B9,B9,39,82,58,146.51,0.36,0.24,31.28,-21.35,9.58,Asher
C1,C1,232,255,231,117.50,1.00,0.95,97.81,-11.77,8.92,Asher
C10,C10,62,188,226,193.90,0.74,0.56,71.20,-21.99,-28.89,Asher
C11,C11,40,221,222,180.33,0.73,0.51,80.43,-41.19,-12.77,Asher
C12,C12,28,51,77,211.84,0.47,0.21,20.64,0.14,-18.71,Asher
C13,C13,205,232,255,207.60,1.00,0.90,90.74,-4.12,-14.09,Asher
C14,C14,213,253,255,182.86,1.00,0.92,96.66,-12.32,-5.24,Asher
C15,C15,34,196,198,180.73,0.71,0.45,72.16,-37.34,-12.23,Asher
C16,C16,21,87,168,213.06,0.78,0.37,37.49,11.52,-49.05,Asher
C17,C17,4,209,246,189.17,0.97,0.49,77.45,-29.71,-30.13,Asher
C18,C18,29,51,68,206.15,0.40,0.19,20.23,-2.96,-13.27,Asher
C19,C19,24,135,162,191.74,0.74,0.36,51.98,-19.50,-22.66,Asher
C2,C2,169,249,252,182.17,0.93,0.83,93.11,-23.52,-9.21,Asher
C20,C20,23,109,175,206.05,0.77,0.39,44.54,0.32,-41.88,Asher
C21,C21,190,221,255,211.38,1.00,0.87,86.94,-2.86,-19.90,Asher
C22,C22,103,180,190,186.90,0.40,0.57,68.93,-21.12,-12.51,Asher
C23,C23,200,226,255,211.64,1.00,0.89,88.87,-2.52,-16.93,Asher
C24,C24,124,196,255,207.02,1.00,0.74,76.67,-6.59,-35.93,Asher
C25,C25,169,229,229,180.00,0.54,0.78,87.06,-18.86,-6.16,Asher
C26,C26,60,174,216,196.15,0.67,0.54,66.67,-18.19,-30.42,Asher
C27,C27,211,223,250,221.54,0.80,0.90,88.70,1.34,-14.49,Asher
C28,C28,187,207,237,216.00,0.58,0.83,82.54,-0.43,-17.02,Asher
C29,C29,52,72,142,226.67,0.46,0.38,32.52,15.47,-41.29,Asher
C3,C3,160,226,251,196.48,0.92,0.81,86.42,-14.69,-18.75,Asher
C4,C4,65,204,255,196.11,1.00,0.63,77.00,-20.55,-35.57,Asher
C5,C5,1,172,235,196.15,0.99,0.46,66.14,-14.54,-41.72,Asher
C6,C6,80,170,240,206.25,0.84,0.63,67.09,-5.25,-42.88,Asher
C7,C7,54,119,210,215.00,0.63,0.52,50.25,10.58,-52.89,Asher
C8,C8,15,84,192,216.61,0.86,0.41,38.28,22.85,-61.90,Asher
C9,C9,50,75,202,230.13,0.60,0.49,37.80,35.23,-68.47,Asher
D1,D1,174,180,242,234.71,0.72,0.82,74.86,11.47,-31.50,Asher
D10,D10,54,24,81,271.58,0.54,0.21,15.65,27.23,-29.20,Asher
D11,D11,185,186,225,238.50,0.40,0.80,76.60,7.58,-19.57,Asher
D12,D12,222,154,212,308.82,0.51,0.74,71.82,34.45,-19.40,Asher
D13,D13,185,0,149,311.68,1.00,0.36,41.98,72.30,-29.46,Asher
