8408,Medium Donkey,159,113,93,LThanda
8084,Sweet Pea,160,95,123,LThanda
7003,Rich Gold Metallic,110,96,71,LThanda
8198,Spa,85,144,137,LThanda
8173,Light Aqua Marine,136,178,175,LThanda
8015,Red,148,9,21,LThanda
8169,Kingfisher,26,112,149,LThanda
8260,Grey Green,142,143,124,LThanda
8307,Deep Cadmium,168,101,42,LThanda
8141,Light Aqua,38,156,179,LThanda
8405,Burnt Umber,56,41,42,LThanda
8179,Turquoise,70,131,143,LThanda
8286,Gold,181,143,64,LThanda
8007,Dark Rose,186,62,68,LThanda
8080,Dark Dusky Pink,110,39,45,LThanda
8163,Dark Teal,36,70,89,LThanda
8267,Dark Pickle,130,127,85,LThanda
8078,Light Dusky Pink,153,66,73,LThanda
8329,Chrome,238,143,40,LThanda
8375,Siena,175,66,55,LThanda
7005,Silver Metallic,104,104,100,LThanda
8393,Dark Java,98,65,68,LThanda
8138,Light Aegean,29,150,188,LThanda
8235,Dark Fern,48,84,44,LThanda
8396,Light Latte,191,157,144,LThanda
8108,Blue Grey,134,150,167,LThanda
8128,Reflex Blue,14,83,150,LThanda
8373,Mid Salmon,217,117,96,LThanda
8322,Dark Primrose,233,191,88,LThanda
8429,Twig,163,128,116,LThanda
8236,Pale Chartreuse,174,178,119,LThanda
8002,White,221,218,208,LThanda
8017,Dark Musk,222,70,82,LThanda
8423,Frosty Pink,204,175,158,LThanda
8328,Daffodil,231,166,34,LThanda
8213,Agave,83,134,125,LThanda
8443,Dark Dove,87,87,98,LThanda
8314,Canary,201,146,64,LThanda
8317,Citrus,203,182,65,LThanda
8381,Dark Burgundy,88,34,37,LThanda
8301,Sand,168,127,103,LThanda
8428,Snow Drift,200,175,161,LThanda
8355,Light Ochre,213,135,98,LThanda
8413,Light Stone,184,167,148,LThanda
7006,Dark Gold Metallic,142,117,89,LThanda
8424,Light Clay,173,140,120,LThanda
8384,Mole Pink,186,115,97,LThanda
8364,Medium Skin Tone,204,133,96,LThanda
8306,Cadmium,189,114,45,LThanda
8167,Heavenly Blue,103,147,165,LThanda
8388,Light Oyster,154,140,143,LThanda
8233,Fern,87,125,66,LThanda
8041,Cerise,155,32,49,LThanda
8409,Donkey,125,85,69,LThanda
8411,Frost,199,198,198,LThanda
8092,Dark Mushroom,96,61,75,LThanda
8305,Straw,225,140,55,LThanda
8323,Lemon Cadmium,227,179,21,LThanda
8025,Ruby,105,8,27,LThanda
8441,Dove,133,133,138,LThanda
8298,Dark Linen,131,90,62,LThanda
8139,Aegean Blue,14,135,188,LThanda
8313,Sahara,212,157,86,LThanda
8105,Jacaranda,78,62,145,LThanda
8199,Deep Spa,50,133,123,LThanda
8223,Dark Emerald,13,105,69,LThanda
8318,Dark Citrus,225,187,12,LThanda
8148,Ice Blue,155,181,181,LThanda
8189,Jade,45,119,116,LThanda
8177,Pale Turquoise,137,176,161,LThanda
8206,Wattle Green,34,77,62,LThanda
8131,Navy Blue,19,59,123,LThanda
8193,Reef,58,142,129,LThanda
8118,Dark Sky Blue,66,95,135,LThanda
8117,Mid Sky Blue,80,119,159,LThanda
8327,Lemon Yellow,237,184,97,LThanda
8038,Dark Floral,184,49,81,LThanda
8440,Pale Dove,164,163,159,LThanda
8435,Cement,131,121,118,LThanda
8229,Deep Jungle,43,72,48,LThanda
8070,Light Puce,218,132,164,LThanda
8227,Light Jungle,86,118,84,LThanda
8221,Light Emerald,56,154,92,LThanda
8256,Mineral Green,99,99,37,LThanda
8361,Light Skin Tone,238,176,118,LThanda
8265,Green Haze,119,130,117,LThanda
8232,Pale Fern,128,156,80,LThanda
8275,Light Khaki,152,131,65,LThanda
8116,Sky Blue,99,136,168,LThanda
8304,Olivine,131,91,63,LThanda
8218,Medium Mint Green,114,179,136,LThanda
8067,Dark Cyclamen,192,13,61,LThanda
8448,Steel,64,63,69,LThanda
8380,Red Mud,94,36,38,LThanda
8123,Cornflower,44,93,150,LThanda
8216,Dark Pine Green,23,54,50,LThanda
8392,Java,105,73,79,LThanda
8258,Forest,68,69,50,LThanda
8142,Aqua,19,154,185,LThanda
8181,Oriental Turquoise,24,99,112,LThanda
8439,Storm Grey,67,60,55,LThanda
8294,Putty,108,96,75,LThanda
8377,Light Burgundy,133,39,46,LThanda
8282,Light Eucalypt,137,132,92,LThanda
8252,Celery Green,183,160,95,LThanda
8136,Denim,18,89,133,LThanda
8271,Bright Lime,192,179,41,LThanda
8156,Ink,21,47,83,LThanda
8090,Pale Mushroom,139,117,125,LThanda
8157,Midnight Blue,24,37,62,LThanda
8324,Sunshine,234,165,20,LThanda
8018,Lipstick,211,44,60,LThanda
8013,Scarlet,201,42,47,LThanda
8187,Dark Slate,36,60,66,LThanda
8042,Wine,91,13,29,LThanda
8335,Poppy,194,43,38,LThanda
8389,Mid Oyster,145,126,133,LThanda
8134,Dark Glacier,57,165,193,LThanda
8151,Dark Sea Quest,96,143,164,LThanda
8382,Porcelain Pink,211,157,144,LThanda
8299,Bone,196,171,142,LThanda
8027,Pink,242,136,144,LThanda
5006,Red Ab,201,68,62,LThanda
8176,Dark Aqua Marine,14,79,110,LThanda
5011,Crystal Ab,90,93,92,LThanda
8110,Blue Shadow,63,100,138,LThanda
8325,Marigold,246,161,36,LThanda
8097,Pale Lilac,192,149,179,LThanda
8246,Mid Kelly Green,13,90,39,LThanda
8309,Oaten,220,157,111,LThanda
8073,Bright Cerise,169,20,84,LThanda
8109,Mid Blue Grey,100,123,149,LThanda
8385,Light Mole,177,119,113,LThanda
8436,Smokey Grey,121,129,120,LThanda
8434,Arctic Grey,160,160,150,LThanda
8161,Mid Teal,94,127,139,LThanda
